Maurice Morgann,An Essay on the Dramatic Character of Sir John Falstaff,Great Britain
William Collins,Poems,Great Britain
George Farquhar,The Beaux' Strategem,Great Britain
George Farquhar,The Recruiting Officer,Great Britain
William Wycherley,The Country Wife,Great Britain
William Wycherley,The Plain Dealer,Great Britain
Christopher Smart,Jubilate Agno,Great Britain
Christopher Smart,A Song to David,Great Britain
Oliver Goldsmith,The Vicar of Wakefield,Great Britain
Oliver Goldsmith,She Stoops to Conquer,Great Britain
Oliver Goldsmith,The Traveller,Great Britain
Oliver Goldsmith,The Deserted Village,Great Britain
Richard Brinsley Sheridan,The School of Scandal,Great Britain
Richard Brinsley Sheridan,The Rivals,Great Britain
William Cowper,Poetical Works,Great Britain
George Crabbe,Poetical Works,Great Britain
Daniel Defoe,Moll Flanders,Great Britain
Daniel Defoe,Robinson Crusoe,Great Britain
Daniel Defoe,A Journal of the Plague Year,Great Britain
Samuel Richardson,Clarissa,Great Britain
Samuel Richardson,Pamela,Great Britain
Samuel Richardson,Sir Charles Grandison,Great Britain
Henry Fielding,Joseph Andrews,Great Britain
Henry Fielding,"The History of Tom Jones, a Foundling",Great Britain
Tobias Smollett,The Expedition of Humphry Clinker,Great Britain
Tobias Smollett,The Adventures of Roderick Random,Great Britain
Laurence Sterne,"The Life and Opinions of Tristram Shandy, Gentleman",Great Britain
Laurence Sterne,A Sentimental Journey Through France and Italy,Great Britain
Fanny Burney,Evelina,Great Britain
Joseph Addison and Richard Steele,The Spectator,Great Britain
Jean Froissart,Chronicles,France
The Song of Roland,Poems,France
Michel de Montaigne,Essays,France
François Rabelais,Gargantua and Pantagruel,France
Marguerite de Navarre,The Heptameron,France
Joachim Du Bellay,The Regrets,France
Maurice Scève,Délie,France
Pierre Ronsard,"Odes, Elegies, Sonnets",France
Philippe de Commynes,Memoirs,France
Agrippa d'Aubigné,Les Tragiques,France
Robert Garnier,Mark Antony,France
Robert Garnier,The Jewesses,France
Pierre Corneille,The Cid,France
Pierre Corneille,Polyeucte,France
Pierre Corneille,Nicomède,France
Pierre Corneille,Horace,France
Pierre Corneille,Cinna,France
Pierre Corneille,Rodogune,France
François de La Rochefoucauld,Maxims,France
Jean de La Fontaine,Fables,France
Molière,The Misanthrope,France
Molière,Tartuffe,France
Molière,The School for Wives,France
Molière,The Learned Ladies,France
Molière,Don Juan,France
Molière,School for Husbands,France
Molière,Ridiculous Precieuses,France
Molière,The Would-Be Gentleman,France
Molière,The Miser,France
Molière,The Imaginary Invalid,France
Blaise Pascal,Pensées,France
Jacques-Bénigne Bosuet,Funerary Orations,France
Nicolas Boileau-Despréaux,The Art of Poetry,France
Nicolas Boileau-Despréaux,Lutrin,France
Jean Racine,Phaedra,France
Jean Racine,Andromache,France
Jean Racine,Britannicus,France
Jean Racine,Athaliah,France
Pierre Carlet de Marivaux,Seven Comedies,France
Jean-Jacques Rousseau,The Confessions,France
Jean-Jacques Rousseau,Émile,France
Jean-Jacques Rousseau,La Nouvelle Héloïse,France
Voltaire,Zadig,France
Voltaire,Candide,France
Voltaire,Letters on England,France
Voltaire,The Lisbon Earthquake,France
Abbé Prévost,Manon Lescaut,France
Madame de La Fayette,The Princess of Cleves,France
Sébastien-Roch Nicolas de Chamfort,Products of the Perfected Civilization,France
Denis Diderot,Rameau's Nephew,France
Choderlos de Laclos,Dangerous Liaisons,France
Erasmus,In Praise of Folly,Germany
Johann Wolfgang von Goethe,"Faust, Parts One and Two",Germany
Johann Wolfgang von Goethe,Dichtung und Wahrheit,Germany
Johann Wolfgang von Goethe,Egmont,Germany
Johann Wolfgang von Goethe,Elective Affinities,Germany
Johann Wolfgang von Goethe,The Sorrows of Young Werther,Germany
Johann Wolfgang von Goethe,Poems,Germany
Johann Wolfgang von Goethe,Wilhelm Meister's Apprenticeship,Germany
Johann Wolfgang von Goethe,Wilhelm Meister's Years of Wandering,Germany
Johann Wolfgang von Goethe,Italian Journey,Germany
Johann Wolfgang von Goethe,Verse Plays,Germany
Johann Wolfgang von Goethe,Hermann and Dorothea,Germany
Johann Wolfgang von Goethe,Roman Elegies,Germany
Johann Wolfgang von Goethe,Venetian Epigrams,Germany
Johann Wolfgang von Goethe,West-Eastern Divan,Germany
Friedrich Schiller,The Robbers,Germany
Friedrich Schiller,Mary Stuart,Germany
Friedrich Schiller,Wallenstein,Germany
Friedrich Schiller,Don Carlos,Germany
Friedrich Schiller,On the Naïve and Sentimental in Literature,Germany
Gotthold Lessing,Laocoön,Germany
Gotthold Lessing,Nathan the Wise,Germany
Freidrich Hölderlin,Hymns and Fragments,Germany
Freidrich Hölderlin,Selected Poems,Germany
Heinrich von Kleist,Five Plays,Germany
Heinrich von Kleist,Stories,Germany
